lookback_bars,z_entry,z_exit,confirm_bars,stop_multiple,momentum_threshold,min_hold_bars,skip_first_minutes,profit_factor,win_rate,sharpe,sortino,calmar,net_pnl,max_dd_pct,max_dd_dollars,total_trades,avg_winner,avg_loser,expectancy,avg_hold_bars,best_day,worst_day
30,1.5,0.5,2,3.0,0.65,5,0,0.9804502413872865,0.4951923076923077,-0.5762146757568122,-0.7786123483151408,-0.4966824644549818,-13100.000000000146,0.25771936681649404,26375.0,6032,219.9481084700368,-220.0607553366174,-2.171750663129998,10.872181697612731,6105.0,-7725.0
30,1.5,0.5,2,3.0,0.75,3,0,0.9742243051066585,0.49581239530988275,-0.7835535885602434,-1.023878768372986,-0.549289711579842,-19139.999999999593,0.3200606227610912,34845.0,7164,203.66554054054072,-205.58139534883728,-2.67169179229475,9.34073143495254,6460.0,-8120.0
30,1.5,0.3,2,4.0,0.75,3,0,1.0092854363153567,0.49755501222493886,0.20830850923223918,0.31405444273624883,0.32744702320891456,8112.500000000859,0.20669086055145372,24775.0,6544,270.8207923832924,-265.7177615571774,1.2396852078240919,14.508863080684597,9315.0,-5615.0
30,1.5,0.3,2,3.0,0.75,5,30,0.9895146890695852,0.4950093574547723,-0.25978623006570045,-0.38893792721356113,-0.2440938995215285,-8162.499999999913,0.30251492672335806,33440.0,6412,242.69297416509133,-240.41692402717723,-1.273003742981896,11.95134123518403,6805.0,-5100.0
30,1.5,0.5,2,3.0,0.65,5,30,0.9783269005871291,0.4956263121063681,-0.5420025377499473,-0.7704061661100254,-0.49471574344024066,-13575.000000000204,0.2672510348186024,27440.0,5716,216.29985880691842,-217.25719736385713,-2.374912526242163,11.100594821553534,6105.0,-6640.0
30,1.5,0.5,2,4.0,0.65,3,30,0.9930912997851191,0.5014005602240896,-0.5646671181855591,-0.7140336331872262,-0.11498475187134712,-4147.499999999491,0.3336879596651094,36070.0,5712,208.16428072625715,-210.7900280898876,-0.7261029411763817,11.788690476190476,4340.0,-8730.0
30,1.5,0.5,2,2.0,0.75,5,30,0.9819443638263289,0.4939988290398126,-0.6761021204957542,-0.9588710353291243,-0.3846807852836655,-12442.50000000016,0.29363170078525713,32345.0,6832,200.49703703703707,-199.34046861440567,-1.821209016393466,8.864314988290397,4680.0,-5825.0
30,1.5,0.3,2,2.0,0.65,5,0,0.9688585797013103,0.4953255963894262,-1.1572066076715954,-1.5176028422519325,-0.5278997675019458,-20435.00000000032,0.35914088231201,38710.0,6204,206.8874064432151,-209.58160332162257,-3.293842682140607,9.526273372018053,4930.0,-6925.0
30,1.5,0.3,2,3.0,0.65,3,30,0.9577290287849524,0.4996513249651325,-1.0183459249976519,-1.3179598981850649,-0.8467332699016726,-26697.499999999738,0.30496179514459815,31530.0,5736,211.05460572226104,-220.0627177700348,-4.654375871687542,11.709902370990237,4035.0,-6090.0
30,1.5,0.5,3,3.0,0.65,5,30,0.9344890547563153,0.4806949806949807,-0.5816661451839815,-0.7855841071496273,-0.5993024963289291,-8162.500000000015,0.13054104567019695,13620.0,1036,233.8052208835343,-231.5938661710039,-7.878861003861023,13.000965250965251,3385.0,-3470.0
30,1.5,0.5,2,4.0,0.65,5,30,1.0046869155965596,0.49873188405797103,-0.015117924141216198,-0.022411896125493578,0.08647211040828982,3007.50000000032,0.3273873958676519,34780.0,5520,234.1763530693789,-231.90458980845673,0.5448369565217952,12.901630434782609,8355.0,-7780.0
30,1.5,0.3,2,2.0,0.75,5,30,0.9747251859887861,0.4933549911399882,-0.9253972068798463,-1.2891961402489946,-0.48622180197217657,-17997.500000000116,0.33569128916700675,37015.0,6772,207.74468721939542,-207.54080443019535,-2.657634376845852,9.247341996455996,5350.0,-5825.0
30,1.5,0.3,2,2.0,0.65,3,30,0.9879707206005299,0.49652547981469225,-0.3234452968300485,-0.4628972862870279,-0.28727697536108937,-6762.500000000044,0.225080078405125,23540.0,6044,185.0741419526825,-184.74203089056863,-1.1188782263401793,8.20549305095963,3890.0,-4055.0
30,1.5,0.3,2,2.0,0.75,3,30,0.996559450119622,0.49641628440366975,-0.10485182070877583,-0.1533265341415795,-0.09488898198575374,-2264.999999999942,0.21738536496516553,23870.0,6976,189.44845509673706,-187.39681184173082,-0.32468463302751543,7.774369266055046,4030.0,-4055.0
30,1.5,0.5,2,4.0,0.65,5,0,1.0049361461012079,0.49845784784098696,0.011630839340440624,0.01669218405295679,0.10236517023200811,3397.5000000003492,0.31367545600604857,33190.0,5836,237.7750085940186,-235.1520327980867,0.5821624400274741,12.60229609321453,8355.0,-7780.0
30,1.5,0.3,2,4.0,0.65,5,30,0.98112297695898,0.49791192103265,-0.3960729865725748,-0.553866873103285,-0.35130355037337113,-13407.499999999709,0.3568656786198513,38165.0,5268,265.6681280975981,-268.52741020793934,-2.5450835231586395,16.07630979498861,5380.0,-8165.0
30,1.5,0.3,2,3.0,0.65,5,0,0.9696896850862797,0.49762872628726285,-0.806682998660869,-1.0588785688723092,-0.7210343112879198,-21750.000000000102,0.29239567682838175,30165.0,5904,236.83713410483315,-241.93442346594736,-3.683943089430912,12.217140921409214,4830.0,-8090.0
30,1.5,0.5,2,4.0,0.75,5,0,1.014489257444403,0.496273106738223,0.0817965943370843,0.13153434573226963,0.32611646531832483,12012.500000000495,0.31402387041773233,36835.0,6708,252.65094623009915,-245.3573542468185,1.7907722122839145,12.14922480620155,12390.0,-8340.0
